playerID,yearID,stint,teamID,lgID,G,AB,R,H,B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,SLG,OBP,OPS
gregodi01,2019,1,NYA,AL,82,324,47,77,45,14,2,16,61.0,2.0,1.0,17,53.0,1.0,1.0,0.0,2.0,5.0,0.23765432098765432,0.44135802469135804,0.2761627906976744,0.7175208153890325
greingr01,2019,1,DET,AL,58,208,18,42,31,5,1,5,19.0,0.0,0.0,13,70.0,0.0,1.0,1.0,1.0,5.0,0.20192307692307693,0.3076923076923077,0.25112107623318386,0.5588133839254916
grichra01,2019,1,TOR,AL,151,586,75,136,71,29,5,31,80.0,2.0,1.0,35,163.0,0.0,5.0,0.0,2.0,20.0,0.23208191126279865,0.45733788395904434,0.2802547770700637,0.737592661029108
grossro01,2019,1,OAK,AL,138,420,57,101,71,21,3,6,38.0,9.0,4.0,59,86.0,2.0,1.0,0.0,2.0,7.0,0.24047619047619048,0.3476190476190476,0.33402489626556015,0.6816439438846078
guerrvl02,2019,1,TOR,AL,123,464,52,126,83,26,2,15,69.0,0.0,1.0,46,91.0,0.0,2.0,0.0,2.0,17.0,0.27155172413793105,0.4331896551724138,0.33852140077821014,0.771711055950624
gurrilo01,2019,1,TOR,AL,84,314,52,87,46,19,2,20,50.0,6.0,4.0,20,86.0,0.0,5.0,1.0,3.0,4.0,0.2770700636942675,0.5414012738853503,0.32748538011695905,0.8688866540023094
guzmaro01,2019,1,TEX,AL,87,256,34,56,26,20,0,10,36.0,1.0,2.0,32,87.0,1.0,3.0,0.0,4.0,7.0,0.21875,0.4140625,0.30847457627118646,0.7225370762711865
hamilbi02,2019,1,KCA,AL,93,275,32,58,44,12,2,0,12.0,18.0,5.0,25,74.0,0.0,0.0,3.0,2.0,1.0,0.2109090909090909,0.2690909090909091,0.27483443708609273,0.5439253461770018
hanigmi01,2019,1,SEA,AL,63,246,46,54,25,13,1,15,32.0,4.0,0.0,30,81.0,1.0,5.0,0.0,2.0,3.0,0.21951219512195122,0.4634146341463415,0.31448763250883394,0.7779022666551754
healyry01,2019,1,SEA,AL,47,169,24,40,17,16,0,7,26.0,0.0,0.0,13,40.0,0.0,1.0,0.0,4.0,1.0,0.23668639053254437,0.4556213017751479,0.2887700534759358,0.7443913552510837
